x,y
180.9104952624131,510.59986639760143
443.20866751749645,245.64453986028582
639.0704981918049,685.4341990391443
345.42077957874744,230.60872959283643
642.036207633959,440.63153902141823
660.7840052258397,173.31134156721538
746.8900787355213,185.21933459184206
175.95458964048302,565.8459962891924
253.10622946480592,453.17132805369886
1013.0342058168578,521.6691234688658
378.23554664742755,48.79204515205991
541.2111011379994,216.3557387795124
606.3344230806972,707.6362893449821
358.55165128206914,503.3777379764572
458.4398176048934,369.2835713225562
877.9663143195303,251.8451559435006
177.52021345954873,78.59032845381765
747.402177206235,614.9677112891578
620.4742165548497,652.458426785396
788.0572898319016,649.3634772624545
24.09933326585032,209.69393193636253
827.1806283927075,448.15089904666297
388.57062724598165,711.4048813799204
615.3802599815738,601.7451259774846
531.547435664021,600.4631679568224
368.73078917167646,692.4581144573083
482.05137300210157,473.5959562645451
197.4231709452671,569.0139308356897
228.97418177132553,474.4557128558597
278.32742636860013,651.7191805528464
750.3796504690096,470.3999554328544
182.29670652121723,129.9376705319032
918.28548532651,38.43968969517891
772.3979852890283,174.15338229935233
778.3128290774226,242.24882009951506
447.33056971609113,247.68832189821012
642.3659228440766,30.149211191381333
27.84413727460636,383.3897510671079
694.2717309223202,304.8845143761165
455.23392556639834,363.7261577121102
520.6388115988203,261.51703748470004
655.3975925096172,630.3927900923347
984.8292129053132,318.28158703300977
765.6127038030891,414.5076713838408
110.3006355348596,466.5893694766997
304.28255152964385,576.3768348280599
128.72624854679708,35.66438748434852
116.00452121286028,300.3040271070952
179.2386893923345,234.7163016305547
446.34590131121536,710.7648435433915
746.9361986613688,224.36401593451913
416.7455086722813,484.4679478748211
101.9855381188666,165.71097153884335
750.4195909770472,16.64588127394775
339.2894139910883,29.194209947138283
190.21999032335424,484.39674400931057
733.1766304881005,401.9201279353098
781.8357795659854,53.953336198916524
9.94154874886149,217.8481285111829
1015.6076594750119,169.0141061705528
648.3188373684374,397.8853412486907
900.7609478261151,3.632704486191196
13.42157935619797,143.05350243765517
332.9686168557303,183.05399380905763
318.65511576644894,626.0110120652851
294.86498386241925,193.3574123272731
901.8559557147086,333.3969375562515
200.85881205856518,202.1942572941137
526.8452938743054,571.0056584974177
835.0930836915827,89.78820256156733
217.72756566623445,60.42508163933171
321.71753896263306,437.43411075117314
782.8908649145556,373.0618807150003
675.6143792421378,162.4758194153136
921.9588538367734,500.268859628054
344.5648504580312,407.8150262371719
273.72352975645094,483.3053482848395
34.028062141257564,150.99261500662104
993.2937004010844,103.22491173231299
747.2149783274889,338.10892662425795
750.9400306000377,603.6896773813086
51.886982746202285,116.74488948089036
89.08468536826634,61.08015616769988
854.4620041786441,418.37718331148915
723.6568167238964,193.8392449376911
679.4587288662744,542.458163509665
894.8787643214175,311.75239320615697
853.0910599711891,653.6831165533043
957.525802777256,136.50219898593517
1067.5007773604436,713.1689001383043
1072.647149723182,557.3690424406326
175.92295485753726,389.26216295834126
750.1758749150338,628.2959356898639
649.8244740374336,265.3029833914835
882.9994801224999,16.037566601273127
453.336593052195,417.44088117114137
16.195702503055468,505.7026906303467
252.78597935911299,243.84172114669133
128.4657193736389,106.96870184773798
951.4800148906072,405.3661749731096
